eventID,occurrenceID,basisOfRecord,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,scientificName,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,recordedBy,type,ownerInstitutionCode
N1Stream,,kicksampling,4,4,,present,,Animalia,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,,,,,
N1Stream,,kicksampling,3,3,,present,,Animalia,Arthropoda,Insecta,Plecoptera,,,,,,,,
N1Stream,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,,,,,,,
N1Stream,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,Trichoptera,Philopotamidae,,,,,,,
N1Stream,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,Ephemeroptera,Heptageniidae ,,,,,,,
N2Stream,,kicksampling,3,3,,present,,Animalia,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,,,,,
N2Stream,,kicksampling,4,4,,present,,Animalia,Arthropoda,Insecta,Plecoptera,,,,,,,,
N2Stream,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,Diptera,Dixidae,,,,,,,
N3Stream,,kicksampling,3,3,,present,,Animalia,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,,,,,
N3Stream,,kicksampling,4,4,,present,,Animalia,Arthropoda,Insecta,Plecoptera,,,,,,,,
N3Stream,,kicksampling,3,3,,present,,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,,,,,,,
N3Stream,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,Coleoptera,,,,,,,,
N4Stream,,kicksampling,4,4,,present,,Animalia,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,,,,,
N4Stream,,kicksampling,2,2,,present,,Animalia,Arthropoda,Insecta,Plecoptera,,,,,,,,
N4Stream,,kicksampling,3,3,,present,,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,,,,,,,
N4Stream,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,Trichoptera,Philopotamidae,,,,,,,
N4Stream,,kicksampling,1,1,,present,,Animalia,Nematomorpha,Gordioida,Gordioidea,,,,,,,,
N4Stream,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,Trichoptera,Leptoceridae,,,,,,,
N4Stream,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,Diptera,Dixidae,,,,,,,
N5Stream,,kicksampling,3,3,,present,,Animalia,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,,,,,
N5Stream,,kicksampling,3,3,,present,,Animalia,Arthropoda,Insecta,Plecoptera,,,,,,,,
N5Stream,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,,,,,,,
N5Stream,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,Trichoptera,Philopotamidae,,,,,,,
N5Stream,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,Ephemeroptera,Heptageniidae (Synonym: Ecdyonuridae),,,,,,,
S1Marsh,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insetca,Diptera,,,,,,Kayleigh & Jess,,
S1Marsh,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insetca,Odonata,,,,,,Kayleigh & Jess,,
S1Stream,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insetca,Coleoptera,,,,,,Kayleigh & Jess,,
S1Stream,,kicksampling,5,5,,present,,Animalia,Annelida,Clitellata,Oligochaete,,,,,,Kayleigh & Jess,,
S1Stream,,rockrubbing,1,1,,present,,Animalia,Arthropoda,Insetca,Coleoptera,,,,,,Kayleigh & Jess,,
S2Marsh,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insetca,Trichoptera,,,,,,Kayleigh & Jess,,
S2Marsh,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insetca,Odonata,,,,,,Kayleigh & Jess,,
S2Stream,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insetca,Colepotera,Hydrophilidae,,,,,Kayleigh & Jess,,
S2Stream,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insetca,Plecoptera,Capniidae,,,,,Kayleigh & Jess,,
S3Marsh,,kicksampling,3,3,,present,,Animalia,Arthropoda,Insetca,Odonata,,,,,,Kayleigh & Jess,,
S3Marsh,,kicksampling,2,2,,present,,Animalia,Arthropoda,Insetca,Ephemeroptera,,,,,,Kayleigh & Jess,,
S3Stream,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insetca,Diptera,,,,,,Kayleigh & Jess,,
S4Marsh,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insetca,Diptera,,,,,,Kayleigh & Jess,,
S4Marsh,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insetca,Coleoptera,,,,,,Kayleigh & Jess,,
S4Marsh,,kicksampling,2,2,,present,,Animalia,Annelida,Clitelatta,Oligochaete,,,,,,Kayleigh & Jess,,
S4Marsh,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,Ephemeroptera,,,,,,Kayleigh & Jess,,
S4Stream ,,kicksampling,1,1,,present,,Animalia,Annelida,Clitellata,Oligochaete,,,,,,Kayleigh & Jess,,
S4Stream ,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insetca,Plecoptera,Capniidae,,,,,Kayleigh & Jess,,
S5Marsh,,kicksampling,1,1,,present,,Animalia,Annelida,Clitellata,Oligochaete,,,,,,Kayleigh & Jess,,
S5Marsh,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,Odonata,,,,,,Kayleigh & Jess,,
S5Marsh,,kicksampling,3,3,,present,,Animalia,Arthropoda,Insecta,Coleoptera,,,,,,Kayleigh & Jess,,
S5Stream,,kicksampling,4,4,,present,,Animalia,Arthropoda,Insetca,Diptera,,,,,,Kayleigh & Jess,,
S5Stream,,rockrubbing,1,1,,present,,Animalia,Arthropoda,Insetca,Trichoptera,,,,,,Kayleigh & Jess,,
S5Stream,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insetca,Coleoptera,,,,,,Kayleigh & Jess,,
S5Stream,,rockrubbing,1,1,,present,,Animalia,Arthropoda,Insetca,Plecoptera,Capniidae,,,,,Kayleigh & Jess,,
S6Marsh,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,Odonata,,,,,,Kayleigh & Jess,,